iter	Passed	Remaining
868	7007	1056
869	7014	1048
870	7021	1039
871	7027	1031
872	7034	1023
873	7040	1015
874	7048	1006
875	7054	998
876	7061	990
877	7067	982
878	7074	973
879	7080	965
880	7087	957
881	7093	948
882	7099	940
883	7106	932
884	7113	924
885	7119	916
886	7126	907
887	7132	899
888	7139	891
889	7145	883
890	7152	874
891	7158	866
892	7165	858
893	7172	850
894	7179	842
895	7185	834
896	7192	825
897	7198	817
898	7205	809
899	7212	801
900	7218	793
901	7225	785
902	7235	777
903	7244	769
904	7252	761
905	7259	753
906	7267	745
907	7273	736
908	7281	728
909	7288	720
910	7295	712
911	7302	704
912	7310	696
913	7317	688
914	7324	680
915	7332	672
916	7338	664
917	7346	656
918	7353	648
919	7359	639
920	7368	632
921	7375	623
922	7383	615
923	7389	607
924	7398	599
925	7410	592
926	7417	584
927	7424	576
928	7433	568
929	7440	560
930	7448	552
931	7454	543
932	7463	535
933	7469	527
934	7476	519
935	7483	511
936	7490	503
937	7497	495
938	7504	487
939	7512	479
940	7519	471
941	7525	463
942	7532	455
943	7539	447
944	7546	439
945	7552	431
946	7558	423
947	7565	414
948	7571	406
949	7578	398
950	7584	390
951	7591	382
952	7597	374
953	7604	366
954	7610	358
955	7617	350
956	7623	342
957	7630	334
958	7636	326
959	7643	318
960	7649	310
961	7655	302
962	7662	294
963	7668	286
964	7675	278
965	7682	270
966	7688	262
967	7694	254
968	7701	246
969	7707	238
970	7714	230
971	7721	222
972	7728	214
973	7735	206
974	7742	198
975	7749	190
976	7755	182
977	7763	174
978	7771	166
979	7779	158
980	7794	150
981	7803	143
982	7823	135
983	7839	127
984	7866	119
985	7912	112
986	7930	104
987	7949	96
988	7993	88
989	8011	80
990	8032	72
991	8059	64
992	8071	56
993	8087	48
994	8094	40
995	8101	32
996	8108	24
997	8115	16
998	8122	8
999	8129	0
