iter	MultiClass
362	1.106128677
363	1.105978201
364	1.10590431
365	1.105758783
366	1.105604212
367	1.105510822
368	1.105365035
369	1.105248139
370	1.105134086
371	1.105008656
372	1.104975386
373	1.104904437
374	1.104815764
375	1.104671469
376	1.104556725
377	1.104469432
378	1.104349683
379	1.104281459
380	1.104149027
381	1.104020347
382	1.103904371
383	1.103817562
384	1.103735091
385	1.103599087
386	1.103551243
387	1.103446216
388	1.103343034
389	1.103235491
390	1.103173908
391	1.103076878
392	1.103002111
393	1.102931384
394	1.102824202
395	1.10277302
396	1.102718201
397	1.102635025
398	1.10255036
399	1.102456198
400	1.102339961
401	1.102242716
402	1.102132536
403	1.10204028
404	1.101952456
405	1.101880044
406	1.101804459
407	1.101697672
408	1.101588017
409	1.101503483
410	1.101458169
411	1.101366994
412	1.101305035
413	1.101234444
414	1.101130013
415	1.101092275
416	1.101001443
417	1.100903517
418	1.10080321
419	1.100705928
420	1.100633092
421	1.100591527
422	1.100518644
423	1.100458906
424	1.100357992
425	1.100266072
426	1.100221309
427	1.100160938
428	1.100099651
429	1.100015826
430	1.099952681
431	1.099892211
432	1.099818228
433	1.09973935
434	1.099682677
435	1.099617175
436	1.099545778
437	1.099474056
438	1.099402773
439	1.099333149
440	1.099267945
441	1.099242553
442	1.09916607
443	1.099137146
444	1.099075028
445	1.099011607
446	1.098937758
447	1.098850902
448	1.098778263
449	1.098707693
450	1.098642826
451	1.098561385
452	1.098531571
453	1.098498578
454	1.09845754
455	1.098426695
456	1.098369299
457	1.098291733
458	1.098231442
459	1.098174245
460	1.098145868
461	1.098085194
462	1.098015898
463	1.097993628
464	1.097925465
465	1.09786436
466	1.09783106
467	1.09780458
468	1.097759687
469	1.097735288
470	1.097677096
471	1.097643453
472	1.097571705
473	1.097538429
474	1.097500032
475	1.097469517
476	1.097424029
477	1.097394377
478	1.097330345
479	1.097313698
480	1.097262029
481	1.097195494
482	1.097128498
483	1.097104029
484	1.097092136
485	1.097029449
486	1.096992076
487	1.096936142
488	1.096914039
489	1.096875461
490	1.096836229
491	1.096780588
492	1.096718454
493	1.096661843
494	1.096649249
495	1.096582871
496	1.096525741
497	1.096485643
498	1.096459258
499	1.096423524
500	1.096374129
501	1.096324789
502	1.096286274
503	1.096257757
504	1.096207449
505	1.096149543
506	1.096132138
507	1.096083244
508	1.096056492
509	1.096037054
510	1.095990594
511	1.095949607
512	1.095915985
513	1.095864214
514	1.095833336
515	1.095810131
516	1.095764294
517	1.09575569
518	1.095707658
519	1.095689257
520	1.095650474
521	1.095612516
522	1.09557703
523	1.095550733
524	1.095499188
525	1.095441993
526	1.095426087
527	1.095404021
528	1.095359466
529	1.095343501
530	1.095311074
531	1.095296539
532	1.095278301
533	1.09525658
534	1.095207644
535	1.095192206
536	1.095160333
537	1.095112457
538	1.095081777
539	1.095043686
540	1.09499971
541	1.094947611
542	1.094909637
543	1.094872728
544	1.094862644
545	1.094828117
546	1.094817069
547	1.094775422
548	1.094725063
549	1.094708738
550	1.094678735
551	1.094642112
552	1.094608572
553	1.094579224
554	1.094562754
555	1.094540566
556	1.094499896
557	1.09448111
558	1.094441874
559	1.094412107
560	1.094393615
561	1.094361553
562	1.094323775
563	1.09428253
564	1.094254934
565	1.094241234
566	1.094214686
567	1.094188998
568	1.094162287
569	1.094133181
570	1.094095015
571	1.094078144
572	1.094045565
573	1.09401652
574	1.093990603
575	1.09396871
576	1.093926493
577	1.093896252
578	1.093873067
579	1.093857699
580	1.093821362
581	1.093788138
582	1.09377492
583	1.093739246
584	1.093708901
585	1.093674092
586	1.093653553
587	1.093629813
588	1.093600948
589	1.093596501
590	1.093576648
591	1.09356453
592	1.093525449
593	1.093493962
594	1.093478183
595	1.093446585
596	1.093424301
597	1.093408716
598	1.093393919
599	1.093387394
600	1.093362244
601	1.093344261
602	1.093315589
603	1.093304775
604	1.093295936
605	1.093283731
606	1.093248041
607	1.093211562
608	1.093198772
609	1.093190351
610	1.093158594
611	1.093121451
612	1.093107097
613	1.093085577
614	1.093055324
615	1.093022407
616	1.09299483
617	1.092974396
618	1.092945845
619	1.092926128
620	1.092894924
621	1.092884989
622	1.092865582
623	1.09283327
624	1.09281352
625	1.092787664
626	1.092777475
627	1.092750128
628	1.092735377
629	1.092723012
630	1.092700153
631	1.092674751
632	1.092654893
633	1.092644623
634	1.092636991
635	1.092619636
636	1.092601978
637	1.092576762
638	1.092564729
639	1.092561385
640	1.092542345
641	1.092510115
642	1.092487936
643	1.092467276
644	1.092457823
645	1.092434266
646	1.092403193
647	1.092376953
648	1.092357413
649	1.092345565
650	1.092322311
651	1.092297635
652	1.09227658
653	1.09226406
654	1.092236443
655	1.092218616
656	1.0921976
657	1.092189296
658	1.092162723
659	1.092138183
660	1.09213382
661	1.092107207
662	1.092093844
663	1.092070295
664	1.092060823
665	1.092046963
666	1.092033624
667	1.092019176
668	1.091996462
669	1.091984408
670	1.09197752
671	1.091973058
672	1.091955503
673	1.091930384
674	1.091909204
675	1.091892658
676	1.091872993
677	1.091857149
678	1.091843342
679	1.091834859
680	1.091813259
681	1.091795204
682	1.091788976
683	1.091771199
684	1.091765536
685	1.091741889
686	1.091731186
687	1.091722248
688	1.091703695
689	1.091693608
690	1.091667424
691	1.09166013
692	1.091652053
693	1.091635139
694	1.091605507
695	1.091581125
696	1.091560888
697	1.091539231
698	1.091531265
699	1.091521822
700	1.091502565
701	1.091489727
702	1.091482581
703	1.091458179
704	1.091443944
705	1.091437551
706	1.091429795
707	1.0914147
708	1.091406149
709	1.091398851
710	1.0913863
711	1.091380474
712	1.091363476
713	1.091356309
714	1.091341018
715	1.091325127
716	1.091313649
717	1.09128659
718	1.091269325
719	1.091247664
720	1.091243722
721	1.091232764
722	1.091227555
723	1.091214553
724	1.091193454
725	1.091187624
726	1.091161012
727	1.091152241
728	1.091131582
729	1.091118733
730	1.091094599
731	1.091080566
732	1.091066051
733	1.091058141
734	1.09104145
735	1.091028992
736	1.091023825
737	1.091021636
738	1.091011051
739	1.091005514
740	1.090988917
741	1.090984315
742	1.090976088
743	1.090965755
744	1.09094742
745	1.09093443
746	1.090925276
747	1.090909019
748	1.090902502
749	1.090886211
750	1.090878426
751	1.090856767
752	1.090853171
753	1.09084919
754	1.090844014
755	1.090837283
756	1.090814264
757	1.090809149
758	1.090798447
759	1.090792409
760	1.090769686
761	1.090765186
762	1.090759429
763	1.090744358
764	1.090739695
765	1.090735891
766	1.09073084
767	1.090726506
768	1.090708256
769	1.090700973
770	1.090697872
771	1.090677726
772	1.090674314
773	1.090662933
774	1.090656666
775	1.090652544
776	1.090643139
777	1.090628717
778	1.090619747
779	1.090611372
780	1.090606773
781	1.090601243
782	1.090581832
783	1.09057788
784	1.090567626
785	1.090553503
786	1.090546538
787	1.090534867
788	1.090526056
789	1.090511096
790	1.090502608
791	1.090497511
792	1.090492757
793	1.090489497
794	1.090476647
795	1.090464183
796	1.090453738
797	1.090447203
798	1.090441645
799	1.090428263
800	1.090426034
801	1.090423008
802	1.090412243
803	1.090407539
804	1.09039744
805	1.090380334
806	1.09036463
807	1.090348
808	1.090345016
809	1.090332716
810	1.090321514
811	1.09030945
812	1.090300059
813	1.090297332
814	1.090288898
815	1.090283506
816	1.090281241
817	1.090272333
818	1.090270723
819	1.090261504
820	1.090259333
821	1.090246079
822	1.090233728
823	1.090223825
824	1.090220722
825	1.090211607
826	1.090207821
827	1.090202073
828	1.090193152
829	1.090177924
830	1.090174132
831	1.090162985
832	1.090160446
833	1.090148768
834	1.090139718
835	1.09013383
836	1.090127804
837	1.090116232
838	1.090114482
839	1.09010967
840	1.090107202
841	1.090100176
842	1.09009418
843	1.090087139
844	1.090085023
845	1.090082463
846	1.090075087
847	1.090058074
848	1.090055069
849	1.090052513
850	1.090048646
851	1.090031947
852	1.090020527
853	1.090015872
854	1.090005103
855	1.089994981
856	1.089989898
857	1.089984048
858	1.089979638
859	1.089963635
860	1.089960153
861	1.089956447
862	1.089952799
863	1.08995084
864	1.089948552
865	1.089943185
866	1.089941087
867	1.089937651
868	1.089929688
869	1.089920342
870	1.089910376
871	1.089906322
872	1.0898973
873	1.089888242
874	1.089878411
875	1.089864789
876	1.089853126
877	1.089843542
878	1.089840026
879	1.089837432
880	1.089832843
881	1.089830558
882	1.089823453
883	1.089820899
884	1.089816858
885	1.089810686
886	1.089801559
887	1.089796897
888	1.08978828
889	1.089784021
890	1.089779876
891	1.089772058
892	1.089770304
893	1.089759357
894	1.089752294
895	1.089748265
896	1.089739687
897	1.089731842
898	1.08972509
899	1.089719226
900	1.089717761
901	1.089706733
902	1.089703
903	1.089696491
904	1.089692927
905	1.089688854
906	1.089685693
907	1.08968184
908	1.08967107
909	1.089669513
910	1.089663719
911	1.0896601
912	1.089650667
913	1.089643439
914	1.0896356
915	1.089628227
916	1.089624744
917	1.089621003
918	1.089612505
919	1.089604996
920	1.089603511
921	1.089595928
922	1.089588763
923	1.089587537
924	1.089580223
925	1.089571835
926	1.089565722
927	1.089562886
928	1.089560562
929	1.089556958
930	1.089554806
931	1.089549857
932	1.089541164
933	1.089539372
934	1.089532208
935	1.089529377
936	1.089526682
937	1.089525316
938	1.089523153
939	1.089516112
940	1.089506071
941	1.089504387
942	1.08949753
943	1.089496028
944	1.089494153
945	1.089489074
946	1.089484258
947	1.089480801
948	1.089474481
949	1.089472883
950	1.089469158
951	1.089463117
952	1.089451523
953	1.089449373
954	1.08944695
955	1.089439808
956	1.08943731
957	1.089434329
958	1.089431266
959	1.089427862
960	1.08942547
961	1.089422515
962	1.089419243
963	1.089416066
964	1.089415109
965	1.089407361
966	1.08940515
967	1.089403806
968	1.089401365
969	1.089396137
970	1.089395332
971	1.089387923
972	1.089379361
973	1.089372765
974	1.089369499
975	1.08936858
976	1.089366856
977	1.089366179
978	1.089359778
979	1.089355371
980	1.089349013
981	1.089346329
982	1.08934294
983	1.089341209
984	1.089336306
985	1.089328399
986	1.089326968
987	1.089318318
988	1.089316491
989	1.089313181
990	1.089310992
991	1.089309626
992	1.08930696
993	1.089299984
994	1.089294496
995	1.089292865
996	1.089291931
997	1.08928167
998	1.089280097
999	1.089277457
